rank_IPI,IPI,LAT_ZONA,LON_ZONA,prioridad_IPI,familia_analitica,tipo_hotspot,cantidad_siniestros,criticidad_total,criticidad_promedio,anios_activos,siniestros_solo_danos,siniestros_con_heridos,siniestros_con_muertos,localidad_predominante,barrio_predominante,via_predominante,clase_predominante,gravedad_predominante
23,94.09281961471103,4.603,-74.076,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,44,116,2.6363636363636362,4,12,28,4,SANTA FE,VERACRUZ,AVENIDA FERNANDO MAZUERA,ATROPELLO,CON HERIDOS
24,94.06421482778751,4.577,-74.096,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,50,122,2.44,4,22,20,8,ANTONIO NARIÑO,CIUDAD JARDIN SUR,SIN_NMG,CHOQUE,SOLO DANOS
25,94.04261529480443,4.739,-74.099,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,40,112,2.8,4,8,28,4,SUBA,COSTA AZUL,AVENIDA CIUDAD DE CALI,CHOQUE,CON HERIDOS
26,94.04261529480443,4.595,-74.086,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,40,112,2.8,4,8,28,4,SANTA FE,SAN BERNARDINO,AVENIDA CARACAS,CHOQUE,CON HERIDOS
27,93.97139521307648,4.544,-74.121,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,120,256,2.1333333333333333,4,64,44,12,USME,LA PICOTA,AVENIDA CARACAS,CHOQUE,SOLO DANOS
28,93.97081144191478,4.595,-74.117,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,56,132,2.357142857142857,4,22,30,4,PUENTE ARANDA,AUTOPISTA MUZU ORIENTAL,AVENIDA CIUDAD DE QUITO,CHOQUE,CON HERIDOS
29,93.96964389959136,4.687,-74.095,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot severo,152,316,2.0789473684210527,4,82,58,12,ENGATIVA,BONANZA,AVENIDA BOYACA,CHOQUE,SOLO DANOS
30,93.91827203736135,4.607,-74.181,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,42,110,2.619047619047619,4,12,26,4,BOSA,JOSE ANTONIO GALAN,AVENIDA BOSA,CHOQUE,CON HERIDOS
31,93.89784004670169,4.619,-74.14,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,132,276,2.090909090909091,4,72,48,12,KENNEDY,CIUDAD KENNEDY,AVENIDA PRIMERO DE MAYO,CHOQUE,SOLO DANOS
32,93.83596030356101,4.631,-74.167,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,132,276,2.090909090909091,4,66,60,6,KENNEDY,DINTALITO,AVENIDA CIUDAD DE CALI,CHOQUE,SOLO DANOS
33,93.79918272037362,4.628,-74.171,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot severo,260,528,2.0307692307692307,4,130,126,4,KENNEDY,LAS MARGARITAS,AVENIDA CIUDAD DE CALI,CHOQUE,SOLO DANOS
34,93.7203736135435,4.617,-74.171,Prioridad 1 - Intervención prioritaria,Hotspot preventivo prioritario,Hotspot persistente con severidad media-alta,74,174,2.3513513513513513,4,26,46,2,KENNEDY,CASABLANCA,AVENIDA AGOBERTO MEJIA CIFUENTES,CHOQUE,CON HERIDOS
35,93.70694687682428,4.599,-74.079,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,26,78,3.0,4,4,18,4,SANTA FE,SANTA INES,AVENIDA FERNANDO MAZUERA,ATROPELLO,CON HERIDOS
36,93.67659077641565,4.581,-74.102,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,136,284,2.088235294117647,4,66,66,4,ANTONIO NARIÑO,CIUDAD JARDIN SUR,AVENIDA PRIMERO DE MAYO,CHOQUE,CON HERIDOS
37,93.65907764156451,4.554,-74.092,Prioridad 1 - Intervención prioritaria,Hotspot preventivo prioritario,Hotspot persistente con severidad media-alta,48,132,2.75,4,8,38,2,SAN CRISTOBAL,ATENAS,AVENIDA CIUDAD DE VILLAVICENCIO,ATROPELLO,CON HERIDOS
38,93.6345592527729,4.594,-74.113,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,92,200,2.1739130434782608,4,42,46,4,ANTONIO NARIÑO,SANTANDER SUR,AVENIDA JORGE GAITAN CORTES,CHOQUE,CON HERIDOS
39,93.56742556917688,4.638,-74.067,Prioridad 1 - Intervención prioritaria,Hotspot preventivo prioritario,Hotspot persistente con severidad media-alta,54,138,2.5555555555555554,4,14,38,2,CHAPINERO,MARLY,AVENIDA CARACAS,ATROPELLO,CON HERIDOS
40,93.56100408639814,4.72,-74.095,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,108,228,2.111111111111111,4,52,52,4,SUBA,RINCON ALTAMAR,SIN_NMG,CHOQUE,CON HERIDOS
41,93.55691768826621,4.578,-74.156,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,90,194,2.1555555555555554,4,42,44,4,CIUDAD BOLIVAR,VERONA,AVENIDA CIUDAD DE VILLAVICENCIO,CHOQUE,CON HERIDOS
42,93.49328663164039,4.669,-74.143,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,92,192,2.0869565217391304,4,50,34,8,FONTIBON,VILLEMAR,SIN_NMG,CHOQUE,SOLO DANOS
43,93.48394629305312,4.6,-74.088,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,108,220,2.037037037037037,4,58,44,6,LOS MARTIRES,LA ESTANZUELA,AVENIDA DE LOS COMUNEROS,CHOQUE,SOLO DANOS
44,93.45300642148277,4.6,-74.078,Prioridad 1 - Intervención prioritaria,Hotspot preventivo prioritario,Hotspot persistente con severidad media-alta,62,150,2.4193548387096775,4,20,40,2,SANTA FE,SANTA INES,AVENIDA FERNANDO MAZUERA,CHOQUE,CON HERIDOS
45,93.40980735551663,4.719,-74.12,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,102,206,2.019607843137255,4,56,40,6,ENGATIVA,VILLAS DE GRANADA I,AVENIDA MEDELLIN,CHOQUE,SOLO DANOS
46,93.36894337419733,4.594,-74.087,Prioridad 1 - Intervención prioritaria,Hotspot preventivo prioritario,Hotspot persistente con severidad media-alta,58,142,2.4482758620689653,4,18,38,2,SANTA FE,SAN BERNARDINO,AVENIDA CARACAS,CHOQUE,CON HERIDOS
47,93.35901926444834,4.626,-74.191,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,34,94,2.764705882352941,4,8,22,4,BOSA,ESCOCIA,SIN_NMG,ATROPELLO,CON HERIDOS
48,93.34384121424402,4.638,-74.155,Prioridad 1 - Intervención prioritaria,Hotspot de severidad/fatalidad,Hotspot persistente con severidad media-alta,78,166,2.128205128205128,4,40,32,6,KENNEDY,CIUDAD TECHO II,AVENIDA MANUEL CEPEDA VARGAS,CHOQUE,SOLO DANOS
49,93.33391710449504,4.624,-74.164,Prioridad 1 - Intervención prioritaria,Hotspot preventivo prioritario,Hotspot persistente con severidad media-alta,46,122,2.652173913043478,4,10,34,2,KENNEDY,CHUCUA DE LA VACA II,SIN_NMG,CHOQUE,CON HERIDOS
50,93.32632807939288,4.6,-74.089,Prioridad 1 - Intervención prioritaria,Hotspot robusto integral,Hotspot persistente con severidad media-alta,110,222,2.018181818181818,4,58,48,4,LOS MARTIRES,LA ESTANZUELA,AVENIDA DE LOS COMUNEROS,CHOQUE,SOLO DANOS
